"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M3 General Purpose Medium","m3.medium","3.75 GiB","3 units","1 vCPUs","0","0","3 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","Yes","4 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","HVM, PV","No","$0.067000 hourly","$0.048000 hourly","$0.127 hourly","$0.108 hourly","$0.167 hourly","$0.081 hourly","$0.130000 hourly","$0.100000 hourly","$0.184 hourly","$0.127 hourly","$0.353 hourly","$0.221 hourly","unavailable","unavailable","$0.135 hourly","$0.111 hourly","$0.547 hourly","$0.523 hourly","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","Yes","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","HVM, PV","Yes","$0.266000 hourly","$0.190000 hourly","$0.326 hourly","$0.25 hourly","$0.366 hourly","$0.223 hourly","$0.518000 hourly","$0.397000 hourly","$0.734 hourly","$0.479 hourly","$1.266 hourly","$0.882 hourly","$1.95 hourly","$1.878 hourly","$0.336 hourly","$0.24 hourly","$0.748 hourly","$0.653 hourly","$1.768 hourly","$1.673 hourly","unavailable","$0.070 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","124.5 units","40 vCPUs","0","0","3.112 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.000000 hourly","$1.239000 hourly","$2.13 hourly","$1.369 hourly","$2.1 hourly","$1.272 hourly","$3.840000 hourly","$3.079000 hourly","$4.582 hourly","$3.449 hourly","$8.64 hourly","$7.879 hourly","$18.84 hourly","$18.079 hourly","$2.676 hourly","$1.915 hourly","$6.8 hourly","$6.039 hourly","$17 hourly","$16.239 hourly","$0.00 hourly","$0.270 hourly"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","188 units","64 vCPUs","0","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","20 Gigabit","10000.0 Mbps","1250.0 MB/s","65000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$3.200000 hourly","$1.982400 hourly","$3.33 hourly","$2.1124 hourly","$3.3 hourly","$2.0154 hourly","$6.144000 hourly","$4.926400 hourly","$7.331 hourly","$5.518 hourly","$13.824 hourly","$12.6064 hourly","$30.144 hourly","$28.9264 hourly","$4.2816 hourly","$3.064 hourly","$10.88 hourly","$9.6624 hourly","$27.2 hourly","$25.9824 hourly","0","$0.270 hourly"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.400000 hourly","$0.247800 hourly","$0.53 hourly","$0.3778 hourly","$0.5 hourly","$0.2808 hourly","$0.768000 hourly","$0.615800 hourly","$0.9 hourly","$0.689 hourly","$1.728 hourly","$1.5758 hourly","$3.768 hourly","$3.6158 hourly","$0.5352 hourly","$0.383 hourly","$1.36 hourly","$1.2078 hourly","$3.4 hourly","$3.2478 hourly","$0.00 hourly","$0.120 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","53.5 units","16 vCPUs","0","0","3.344 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.800000 hourly","$0.495600 hourly","$0.93 hourly","$0.6256 hourly","$0.9 hourly","$0.5286 hourly","$1.536000 hourly","$1.231600 hourly","$1.844 hourly","$1.381 hourly","$3.456 hourly","$3.1516 hourly","$7.536 hourly","$7.2316 hourly","$1.0704 hourly","$0.766 hourly","$2.72 hourly","$2.4156 hourly","$6.8 hourly","$6.4956 hourly","$0.00 hourly","$0.240 hourly"
"M4 General Purpose Large","m4.large","8.0 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Moderate","450.0 Mbps","56.25 MB/s","3600.0 IOPS","No","20","2","Yes","Yes","Yes","No","HVM","Yes","$0.100000 hourly","$0.062000 hourly","$0.16 hourly","$0.122 hourly","$0.2 hourly","$0.095 hourly","$0.192000 hourly","$0.154000 hourly","$0.24 hourly","$0.194 hourly","$0.672 hourly","$0.634 hourly","unavailable","unavailable","$0.1676 hourly","$0.1296 hourly","$0.58 hourly","$0.542 hourly","unavailable","unavailable","$0.00 hourly","$0.030 hourly"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2676 v3 (Haswell)","2.4  GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.200000 hourly","$0.123900 hourly","$0.26 hourly","$0.1839 hourly","$0.3 hourly","$0.1569 hourly","$0.384000 hourly","$0.307900 hourly","$0.439 hourly","$0.346 hourly","$0.864 hourly","$0.7879 hourly","$1.884 hourly","$1.8079 hourly","$0.2676 hourly","$0.1915 hourly","$0.68 hourly","$0.6039 hourly","$1.7 hourly","$1.6239 hourly","$0.00 hourly","$0.060 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","173 units","48 vCPUs","0","0","3.604 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.304000 hourly","$1.472000 hourly","$2.434 hourly","$1.602 hourly","$2.404 hourly","$1.505 hourly","$4.512000 hourly","$3.680000 hourly","$5.323 hourly","$4.491 hourly","$10.272 hourly","$9.44 hourly","$22.512 hourly","$21.68 hourly","$3.115 hourly","$2.283 hourly","$8.064 hourly","$7.232 hourly","$20.304 hourly","$19.472 hourly","0","$0.270 hourly"
"M5 General Purpose 24xlarge","m5.24xlarge","384.0 GiB","345 units","96 vCPUs","0","0","3.594 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","HVM","Yes","$4.608000 hourly","$2.944000 hourly","$4.738 hourly","$3.074 hourly","$4.708 hourly","$2.977 hourly","$9.024000 hourly","$7.360000 hourly","$10.646 hourly","$8.982 hourly","$20.544 hourly","$18.88 hourly","$45.024 hourly","$43.36 hourly","$6.23 hourly","$4.566 hourly","$16.128 hourly","$14.464 hourly","$40.608 hourly","$38.944 hourly","0","$0.270 hourly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","31 units","8 vCPUs","0","0","3.875 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.384000 hourly","$0.245000 hourly","$0.514 hourly","$0.375 hourly","$0.484 hourly","$0.278 hourly","$0.752000 hourly","$0.613000 hourly","$0.887 hourly","$0.749 hourly","$1.712 hourly","$1.573 hourly","$3.752 hourly","$3.613 hourly","$0.519 hourly","$0.381 hourly","$1.344 hourly","$1.205 hourly","$3.384 hourly","$3.245 hourly","0","$0.096 hourly"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","60 units","16 vCPUs","0","0","3.75 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.768000 hourly","$0.491000 hourly","$0.898 hourly","$0.621 hourly","$0.868 hourly","$0.524 hourly","$1.504000 hourly","$1.227000 hourly","$1.774 hourly","$1.497 hourly","$3.424 hourly","$3.147 hourly","$7.504 hourly","$7.227 hourly","$1.038 hourly","$0.761 hourly","$2.688 hourly","$2.411 hourly","$6.768 hourly","$6.491 hourly","0","$0.192 hourly"
"M5 General Purpose Large","m5.large","8.0 GiB","8 units","2 vCPUs","0","0","4 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","$0.096000 hourly","$0.061000 hourly","$0.156 hourly","$0.121 hourly","$0.196 hourly","$0.094 hourly","$0.188000 hourly","$0.153000 hourly","$0.256 hourly","$0.221 hourly","$0.668 hourly","$0.633 hourly","unavailable","unavailable","$0.164 hourly","$0.129 hourly","$0.576 hourly","$0.541 hourly","unavailable","unavailable","0","unavailable"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","16 units","4 vCPUs","0","0","4 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.192000 hourly","$0.123000 hourly","$0.252 hourly","$0.183 hourly","$0.292 hourly","$0.156 hourly","$0.376000 hourly","$0.307000 hourly","$0.444 hourly","$0.374 hourly","$0.856 hourly","$0.787 hourly","$1.876 hourly","$1.807 hourly","$0.26 hourly","$0.19 hourly","$0.672 hourly","$0.603 hourly","$1.692 hourly","$1.623 hourly","0","$0.048 hourly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","0 units","48 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","5000.0 Mbps","675.0 MB/s","30000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","Yes","$2.064000 hourly","$1.313000 hourly","$2.194 hourly","$1.443 hourly","$2.214 hourly","$1.373 hourly","$4.272000 hourly","$3.521000 hourly","$5.083 hourly","$4.333 hourly","$10.032 hourly","$9.281 hourly","$22.272 hourly","$21.521 hourly","$2.875 hourly","$2.125 hourly","$7.824 hourly","$7.073 hourly","$20.064 hourly","$19.313 hourly","0","$0.270 hourly"
"M5A 24xlarge","m5a.24xlarge","384.0 GiB","0 units","96 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","10000.0 Mbps","1250.0 MB/s","60000.0 IOPS","No","750","15","Yes","Yes","Yes","No","Unknown","Yes","$4.128000 hourly","$2.627000 hourly","$4.258 hourly","$2.757 hourly","$4.278 hourly","$2.687 hourly","$8.544000 hourly","$7.043000 hourly","$10.166 hourly","$8.665 hourly","$20.064 hourly","$18.563 hourly","$44.544 hourly","$43.043 hourly","$5.75 hourly","$4.249 hourly","$15.648 hourly","$14.147 hourly","$40.128 hourly","$38.627 hourly","0","$0.270 hourly"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","0 units","8 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.344000 hourly","$0.219000 hourly","$0.474 hourly","$0.349 hourly","$0.494 hourly","$0.279 hourly","$0.712000 hourly","$0.587000 hourly","$0.847 hourly","$0.722 hourly","$1.672 hourly","$1.547 hourly","$3.712 hourly","$3.587 hourly","$0.479 hourly","$0.354 hourly","$1.304 hourly","$1.179 hourly","$3.344 hourly","$3.219 hourly","0","$0.086 hourly"
